status	group_id	counts	name	group_domain	group_link	post_link	source_repost_link
suitable	76405869	52	Москва и МО: потеряные и найденные животные	club76405869	https://vk.com/club76405869	https://vk.com/feed?w=wall-76405869_60115	https://vk.com/feed?w=wall-37814238_141446
unsuitable	475862	19	Кутузово. Подольск	club475862	https://vk.com/club475862	https://vk.com/feed?w=wall-475862_23651	https://vk.com/feed?w=wall-79776207_54861
unsuitable	506795	18	Подольск	club506795	https://vk.com/club506795	https://vk.com/feed?w=wall-506795_169197	https://vk.com/feed?w=wall-79776207_55053
suitable	96670880	12	ПРОПАЛА \ НАЙДЕНА \ ЗАМЕЧЕНА СОБАКА МОСКВА И МО	club96670880	https://vk.com/club96670880	https://vk.com/feed?w=wall-96670880_948709	https://vk.com/feed?w=wall-79776207_55087
unsuitable	55048082	6	Такса 911. Помощь коротколапым в Москве.	club55048082	https://vk.com/club55048082	https://vk.com/feed?w=wall-55048082_34747	https://vk.com/feed?w=wall-37814238_141323
unsuitable	105061584	6	Подольский Водитель	club105061584	https://vk.com/club105061584	https://vk.com/feed?w=wall-105061584_1705396	https://vk.com/feed?w=wall-79776207_55121
suitable	186896272	4	Я тебя не брошу. Потеряшки животные г. Подольск	club186896272	https://vk.com/club186896272	https://vk.com/feed?w=wall-186896272_5567	https://vk.com/feed?w=wall-79776207_53812
unsuitable	165294157	4	Живой уголок - Джимми	club165294157	https://vk.com/club165294157	https://vk.com/feed?w=wall-165294157_2533	https://vk.com/feed?w=wall-79776207_55092
unsuitable	64978826	3	Подслушано микрорайон Львовский ORIGINAL	club64978826	https://vk.com/club64978826	https://vk.com/feed?w=wall-64978826_291531	https://vk.com/feed?w=wall-79776207_55116
unsuitable	25724621	3	Климовск Онлайн	club25724621	https://vk.com/club25724621	https://vk.com/feed?w=wall-25724621_504470	https://vk.com/feed?w=wall-79776207_54349
unsuitable	121111920	3	ГБР. Зоозащита.	club121111920	https://vk.com/club121111920	https://vk.com/feed?w=wall-121111920_77838	https://vk.com/feed?w=wall-37814238_140894
unsuitable	135383440	3	Всем на свете нужен дом: кошкам и собакам!	club135383440	https://vk.com/club135383440	https://vk.com/feed?w=wall-135383440_36802	https://vk.com/feed?w=wall-37814238_141341
unsuitable	69762350	2	Я ♥️ Подольск	club69762350	https://vk.com/club69762350	https://vk.com/feed?w=wall-69762350_307825	https://vk.com/feed?w=wall-79776207_54884
unsuitable	14357040	2	Шереметьевский Приют-помощь амстаффам и питбулям	club14357040	https://vk.com/club14357040	https://vk.com/feed?w=wall-14357040_317574	https://vk.com/feed?w=wall-37814238_140888
unsuitable	43935330	2	Приют для собак Щербинка	club43935330	https://vk.com/club43935330	https://vk.com/feed?w=wall-43935330_54570	https://vk.com/feed?w=wall-37814238_140893
unsuitable	32850529	2	"Приют для собак ""Домашний"": ""Выбери меня""!"	club32850529	https://vk.com/club32850529	https://vk.com/feed?w=wall-32850529_49471	https://vk.com/feed?w=wall-37814238_141082
suitable	111794591	2	Потеряшки г.Ступино. Помощь бездомным животным.	club111794591	https://vk.com/club111794591	https://vk.com/feed?w=wall-111794591_50491	https://vk.com/feed?w=wall-37814238_141013
suitable	159071871	2	Потеряшки | Подольск!	club159071871	https://vk.com/club159071871	https://vk.com/feed?w=wall-159071871_25605	https://vk.com/feed?w=wall-79776207_54441
unsuitable	97261056	2	Подслушано в Михнево	club97261056	https://vk.com/club97261056	https://vk.com/feed?w=wall-97261056_55878	https://vk.com/feed?w=wall-111794591_49357
unsuitable	158584106	2	Подольск	club158584106	https://vk.com/club158584106	https://vk.com/feed?w=wall-158584106_395280	https://vk.com/feed?w=wall-79776207_54649
suitable	33500997	2	ПРОПАЛА СОБАКА - НАЙДЕНА СОБАКА	club33500997	https://vk.com/club33500997	https://vk.com/feed?w=wall-33500997_426064	https://vk.com/feed?w=wall-79776207_54811
suitable	40568912	2	ПРОПАЛ/НАЙДЕН ЛАБРАДОР	club40568912	https://vk.com/club40568912	https://vk.com/feed?w=wall-40568912_167640	https://vk.com/feed?w=wall-79776207_54667
unsuitable	59010873	2	ПВК | Кашира	club59010873	https://vk.com/club59010873	https://vk.com/feed?w=wall-59010873_1301620	https://vk.com/feed?w=wall-111794591_51103
