status	group_id	counts	name	group_domain	group_link	post_link	source_repost_link
suitable	159071871	1037	Потеряшки | Подольск!	club159071871	https://vk.com/club159071871	https://vk.com/feed?w=wall-159071871_10556	https://vk.com/feed?w=wall-124530422_8583
unsuitable	189581634	839	Пропала и найдена собака (Москва и Моск.область)	club189581634	https://vk.com/club189581634	https://vk.com/feed?w=wall-189581634_146954	https://vk.com/feed?w=wall-111794591_44671
suitable	96670880	820	ПРОПАЛА \ НАЙДЕНА \ ЗАМЕЧЕНА СОБАКА МОСКВА И МО	club96670880	https://vk.com/club96670880	https://vk.com/feed?w=wall-96670880_871715	https://vk.com/feed?w=wall-111794591_47735
suitable	76405869	700	Москва и МО: потеряные и найденные животные	club76405869	https://vk.com/club76405869	https://vk.com/feed?w=wall-76405869_59176	https://vk.com/feed?w=wall-186896272_7058
	75609462	560	Подслушано Ступино	club75609462	https://vk.com/club75609462	https://vk.com/feed?w=wall-75609462_1873971	https://vk.com/feed?w=wall-111794591_29645
suitable	79776207	409	КЛИМОВСК Потерянные и найденные животные	club79776207	https://vk.com/club79776207	https://vk.com/feed?w=wall-79776207_45971	https://vk.com/feed?w=wall-124530422_7332
suitable	124530422	321	Потеряшки Подольск | Климовск	club124530422	https://vk.com/club124530422	https://vk.com/feed?w=wall-124530422_15432	https://vk.com/feed?w=wall-186896272_7564
	47388963	251	Потеряшка-НСК. Потерянные животные. Новосибирск.	club47388963	https://vk.com/club47388963	https://vk.com/feed?w=wall-47388963_1504488	https://vk.com/feed?w=wall-40568912_159544
	130671457	197	Подольск и МО. Группа помощи бездомным животным	club130671457	https://vk.com/club130671457	https://vk.com/feed?w=wall-130671457_36875	https://vk.com/feed?w=wall-124530422_7336
suitable	33500997	196	ПРОПАЛА СОБАКА - НАЙДЕНА СОБАКА	club33500997	https://vk.com/club33500997	https://vk.com/feed?w=wall-33500997_305430	https://vk.com/feed?w=wall-111794591_21075
unsuitable	53984028	143	Подслушано Ступино	club53984028	https://vk.com/club53984028	https://vk.com/feed?w=wall-53984028_704476	https://vk.com/feed?w=wall-111794591_49608
unsuitable	135383440	135	Всем на свете нужен дом: кошкам и собакам!	club135383440	https://vk.com/club135383440	https://vk.com/feed?w=wall-135383440_36802	https://vk.com/feed?w=wall-37814238_141341
unsuitable	3669034	132	Приют Зоозащита-плюс город Серпухов	club3669034	https://vk.com/club3669034	https://vk.com/feed?w=wall-3669034_329609	https://vk.com/feed?w=wall-186896272_7574
unsuitable	165294157	120	Живой уголок - Джимми	club165294157	https://vk.com/club165294157	https://vk.com/feed?w=wall-165294157_1570	https://vk.com/feed?w=wall-124530422_7829
	124864860	112	КРЫМСКИЙ ПОИСК ЖИВОТНЫХ	club124864860	https://vk.com/club124864860	https://vk.com/feed?w=wall-124864860_163639	https://vk.com/feed?w=wall-40568912_159474
	51180689	110	Объявления Сочи Поиск Работа Жилье у моря Адлер	club51180689	https://vk.com/club51180689	https://vk.com/feed?w=wall-51180689_184941	https://vk.com/feed?w=wall-40568912_159251
unsuitable	63180860	106	Подслушано Звенигород	club63180860	https://vk.com/club63180860	https://vk.com/feed?w=wall-63180860_723427	https://vk.com/feed?w=wall-40568912_159399
	29065178	105	Я потерялся!СПб! Объявления о пропавших животных	club29065178	https://vk.com/club29065178	https://vk.com/feed?w=wall-29065178_1940284	https://vk.com/feed?w=wall-40568912_159705
unsuitable	100044430	105	Промяукано в Чехове	club100044430	https://vk.com/club100044430	https://vk.com/feed?w=wall-100044430_13916	https://vk.com/feed?w=wall-124530422_4865
unsuitable	506795	101	Подольск	club506795	https://vk.com/club506795	https://vk.com/feed?w=wall-506795_162092	https://vk.com/feed?w=wall-124530422_11027
unsuitable	186374560	98	"""Кузькин Дом"""	club186374560	https://vk.com/club186374560	https://vk.com/feed?w=wall-186374560_1774	https://vk.com/feed?w=wall-111794591_51058
	29401904	93	Мы любим лабрадоров	club29401904	https://vk.com/club29401904	https://vk.com/feed?w=wall-29401904_1356033	https://vk.com/feed?w=wall-40568912_159400
	141234907	86	"""Я ПОТЕРЯЛСЯ"" Екатеринбург"	club141234907	https://vk.com/club141234907	https://vk.com/feed?w=wall-141234907_269380	https://vk.com/feed?w=wall-40568912_159738
	170903247	80	"Собачья передержка - ""Маячок"" Кемерово"	club170903247	https://vk.com/club170903247	https://vk.com/feed?w=wall-170903247_29405	https://vk.com/feed?w=wall-40568912_156157
	54026153	77	███████  ПОТЕРЯШКИ  - Калуга и область  ███████	club54026153	https://vk.com/club54026153	https://vk.com/feed?w=wall-54026153_261828	https://vk.com/feed?w=wall-40568912_159768
unsuitable	158127930	75	Климовские СОБАКИ из снт	club158127930	https://vk.com/club158127930	https://vk.com/feed?w=wall-158127930_8643	https://vk.com/feed?w=wall-124530422_15029
unsuitable	105061584	74	Подольский Водитель	club105061584	https://vk.com/club105061584	https://vk.com/feed?w=wall-105061584_1675357	https://vk.com/feed?w=wall-124530422_14777
	39257668	73	Типичный Подольск	club39257668	https://vk.com/club39257668	https://vk.com/feed?w=wall-39257668_1953807	https://vk.com/feed?w=wall-124530422_9957
	144824450	73	SIMBAHELP Помощь животным в память о Симбе	club144824450	https://vk.com/club144824450	https://vk.com/feed?w=wall-144824450_11641	https://vk.com/feed?w=wall-111794591_23815
unsuitable	37990895	71	Звенигород	club37990895	https://vk.com/club37990895	https://vk.com/feed?w=wall-37990895_415943	https://vk.com/feed?w=wall-40568912_155625
	27234745	71	БЮРО НАХОДОК Потеряшки Архангельск и область	club27234745	https://vk.com/club27234745	https://vk.com/feed?w=wall-27234745_471648	https://vk.com/feed?w=wall-40568912_159862
	40561526	69	Я потерялся! Самара и Самарская область	club40561526	https://vk.com/club40561526	https://vk.com/feed?w=wall-40561526_737413	https://vk.com/feed?w=wall-40568912_159812
unsuitable	162251261	67	Уши, лапы, хвост.	club162251261	https://vk.com/club162251261	https://vk.com/feed?w=wall-162251261_9041	https://vk.com/feed?w=wall-124530422_9365
	174608349	64	Москва | Pet911.ru пропала найдена собака кошка	club174608349	https://vk.com/club174608349	https://vk.com/feed?w=wall-174608349_55406	https://vk.com/feed?w=wall-186896272_5753
	170151882	63	Подольск, Москва и М.О.Животные в добрые руки.	club170151882	https://vk.com/club170151882	https://vk.com/feed?w=wall-170151882_575	https://vk.com/feed?w=wall-124530422_3547
